Building populated grid (0.1 deg, city-radius=1)...
  15711 unique cells x 2 categories = 31422 reference calls.

  0 (cell,category) pairs already cached; resuming.

[7100/15711 cells] made=14199 skip=0 err=1 ~4984/hr
[7150/15711 cells] made=14299 skip=0 err=1 ~4984/hr
[7200/15711 cells] made=14399 skip=0 err=1 ~4984/hr
[7250/15711 cells] made=14499 skip=0 err=1 ~4984/hr
[7300/15711 cells] made=14599 skip=0 err=1 ~4984/hr
[7350/15711 cells] made=14699 skip=0 err=1 ~4984/hr
[7400/15711 cells] made=14799 skip=0 err=1 ~4984/hr
[7450/15711 cells] made=14899 skip=0 err=1 ~4984/hr
[7500/15711 cells] made=14999 skip=0 err=1 ~4984/hr
[7550/15711 cells] made=15099 skip=0 err=1 ~4984/hr
[7600/15711 cells] made=15199 skip=0 err=1 ~4984/hr
[7650/15711 cells] made=15299 skip=0 err=1 ~4984/hr
[7700/15711 cells] made=15399 skip=0 err=1 ~4984/hr
[7750/15711 cells] made=15499 skip=0 err=1 ~4985/hr
[7800/15711 cells] made=15599 skip=0 err=1 ~4985/hr
[7850/15711 cells] made=15699 skip=0 err=1 ~4985/hr
[7900/15711 cells] made=15799 skip=0 err=1 ~4985/hr
[7950/15711 cells] made=15899 skip=0 err=1 ~4985/hr
[8000/15711 cells] made=15999 skip=0 err=1 ~4985/hr
[8050/15711 cells] made=16099 skip=0 err=1 ~4985/hr
[8100/15711 cells] made=16199 skip=0 err=1 ~4985/hr
[8150/15711 cells] made=16299 skip=0 err=1 ~4985/hr
[8200/15711 cells] made=16399 skip=0 err=1 ~4985/hr
[8250/15711 cells] made=16499 skip=0 err=1 ~4985/hr
[8300/15711 cells] made=16599 skip=0 err=1 ~4985/hr
[8350/15711 cells] made=16699 skip=0 err=1 ~4985/hr
[8400/15711 cells] made=16799 skip=0 err=1 ~4985/hr
[8450/15711 cells] made=16899 skip=0 err=1 ~4985/hr
[8500/15711 cells] made=16999 skip=0 err=1 ~4985/hr
[8550/15711 cells] made=17099 skip=0 err=1 ~4985/hr
[8600/15711 cells] made=17199 skip=0 err=1 ~4985/hr
[8650/15711 cells] made=17299 skip=0 err=1 ~4985/hr
[8700/15711 cells] made=17399 skip=0 err=1 ~4985/hr
[8750/15711 cells] made=17499 skip=0 err=1 ~4985/hr
[8800/15711 cells] made=17599 skip=0 err=1 ~4985/hr
[8850/15711 cells] made=17699 skip=0 err=1 ~4985/hr
